Row Labels,Average of Wind Speed
 TX1-1130,8.26
 TX1-1166,8.25
 TX2-1006,8.24
 TX1-1044,8.24
 TX1-1126,8.24
 NG14-06-945,8.24
 TX2-1022,8.23
 TX2-1001,8.23
 TX1-1069,8.23
 TX1-1105,8.23
 TX1-1064,8.23
 TX1-1110,8.23
 TX2-964,8.23
 TX1-1027,8.23
 TX1-1151,8.23
 NG14-06-989,8.23
 TX2-985,8.22
 TX1-1049,8.22
 TX2-959,8.22
 TX1-1146,8.22
 TX1-1090,8.22
 TX2-1007,8.22
 TX1-1131,8.22
 TX2-1000,8.21
 TX1-1043,8.21
 TX2-980,8.21
 TX1-1028,8.21
 TX1-1125,8.21
 TX1-1165,8.21
 NG14-06-946,8.21
 TX2-965,8.2
 TX2-1021,8.2
 TX1-1070,8.2
 TX1-1145,8.2
 TX1-1085,8.2
 TX1-1152,8.2
 TX2-986,8.2
 TX1-1111,8.2
 NG14-06-990,8.2
 TX1-1132,8.19
 TX2-944,8.19
 TX2-979,8.19
 TX1-1091,8.19
 TX1-1063,8.19
 TX1-1104,8.19
 TX2-1008,8.19
 TX1-1124,8.18
 TX1-1084,8.18
 TX1-1050,8.18
 TX1-1153,8.18
 TX1-1071,8.18
 TX2-939,8.18
 TX2-966,8.18
 TX1-1164,8.18
 TX2-958,8.18
 TX1-1112,8.18
 TX1-1042,8.18
 TX1-1029,8.17
 TX2-924,8.17
 TX2-999,8.17
 TX1-1062,8.17
 TX1-1092,8.17
 TX2-945,8.17
 TX2-957,8.17
 TX1-1103,8.17
 NG14-06-947,8.17
 TX1-1051,8.16
 TX1-1083,8.16
 TX1-1133,8.16
 TX2-1020,8.16
 TX1-1144,8.16
 TX2-987,8.16
 TX1-1041,8.16
 TX2-938,8.16
 NG14-06-991,8.16
 TX2-946,8.15
 TX1-1123,8.15
 TX2-925,8.15
 TX1-1030,8.15
 TX1-1072,8.15
 TX2-1009,8.15
 TX2-978,8.15
 TX1-1113,8.15
 TX2-919,8.15
 TX1-1102,8.14
 TX1-1143,8.14
 TX2-967,8.14
 TX2-904,8.14
 TX1-1154,8.14
 TX2-988,8.14
 TX1-1134,8.14
 TX2-998,8.14
 TX2-1019,8.14
 TX1-1061,8.14
 TX2-937,8.14
 TX1-1163,8.14
 NG14-06-948,8.14
 NG14-06-992,8.14
 TX1-1082,8.13
 TX2-956,8.13
 TX2-1010,8.13
 TX1-1114,8.13
 TX1-1052,8.13
 TX2-918,8.13
 TX2-977,8.13
 TX1-1122,8.13
 TX1-1093,8.13
 TX2-997,8.12
 TX2-905,8.12
 TX2-899,8.12
 TX2-926,8.12
 TX1-1101,8.12
 TX2-936,8.12
 TX2-968,8.12
 TX2-947,8.12
 TX1A-1155,8.12
 TX1A-1135,8.12
 TX1A-1162,8.12
 TX1-1073,8.12
 TX2-989,8.12
 TX1-1031,8.12
 TX1-1094,8.12
 TX1-1040,8.12
 TX1A-1142,8.12
 TX1-1081,8.11
 TX1-1053,8.11
 TX2-955,8.11
 TX2-883,8.11
 TX1-1074,8.11
 TX1A-1121,8.11
